trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
S4,subtractive,p_add=0.5_steps=50_temp=1.0,9,big;striped;circle,striped;circle;big,3,nochange,4,4,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,10,big;striped;circle,striped;circle;big,3,nochange,3,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,11,big;striped;circle,striped;circle;big,3,nochange,3,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,12,big;striped;circle,striped;circle,2,subtractive,2,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,13,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,14,big;striped;circle,striped;circle,2,subtractive,1,2,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,15,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,16,big;striped;circle,striped;circle,2,subtractive,2,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,17,big;striped;circle,striped;circle;big,3,nochange,2,2,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,18,big;striped;circle,striped;circle;blue,3,mixed,5,5,0.8333333333333334
S4,subtractive,p_add=0.5_steps=50_temp=1.0,19,big;striped;circle,striped;circle;big,3,nochange,3,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,20,big;striped;circle,striped;circle;big,3,nochange,6,6,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,21,big;striped;circle,striped;circle,2,subtractive,1,2,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,22,big;striped;circle,striped;circle,2,subtractive,2,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,23,big;striped;circle,striped;circle,2,subtractive,3,4,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,24,big;striped;circle,striped;circle,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,25,big;striped;circle,striped;circle;big,3,nochange,3,3,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,26,big;striped;circle,circle;striped,2,subtractive,4,5,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,27,big;striped;circle,circle;striped,2,subtractive,8,9,1.0
S4,subtractive,p_add=0.5_steps=50_temp=1.0,28,big;striped;circle,circle,1,subtractive,2,4,0.6666666666666666
S4,subtractive,p_add=0.5_steps=50_temp=1.0,29,big;striped;circle,striped;circle,2,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,0,blue,,0,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,1,blue,,0,subtractive,5,6,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,2,blue,,0,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,3,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,4,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,5,blue,blue,1,nochange,5,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,6,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,7,blue,,0,subtractive,0,1,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,8,blue,,0,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,9,blue,,0,subtractive,3,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,10,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,11,blue,,0,subtractive,1,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,12,blue,blue,1,nochange,2,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,13,blue,,0,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,14,blue,blue,1,nochange,2,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,15,blue,,0,subtractive,3,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,16,blue,,0,subtractive,0,1,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,17,blue,,0,subtractive,3,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,18,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,19,blue,blue,1,nochange,2,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,20,blue,,0,subtractive,2,3,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,21,blue,,0,subtractive,1,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,22,blue,blue,1,nochange,4,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,23,blue,blue,1,nochange,4,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,24,blue,,0,subtractive,3,4,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,25,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,26,blue,,0,subtractive,1,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,27,blue,,0,subtractive,4,5,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,28,blue,,0,subtractive,1,2,1.0
A4,additive,p_add=0.5_steps=50_temp=1.0,29,blue,,0,subtractive,3,4,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,0,small;solid;square,small;square,2,subtractive,2,3,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,1,small;solid;square,small;square,2,subtractive,3,4,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,2,small;solid;square,square,1,subtractive,6,8,0.6666666666666666
S5,subtractive,p_add=0.5_steps=50_temp=1.0,3,small;solid;square,small;square,2,subtractive,3,4,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,4,small;solid;square,small;square;solid,3,nochange,6,6,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,5,small;solid;square,small;square,2,subtractive,2,3,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,6,small;solid;square,small;square,2,subtractive,3,4,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,7,small;solid;square,square;small;solid,3,nochange,5,5,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,8,small;solid;square,small;square,2,subtractive,2,3,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,9,small;solid;square,square;small;solid,3,nochange,5,5,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,10,small;solid;square,small;square,2,subtractive,2,3,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,11,small;solid;square,small;square,2,subtractive,4,5,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,12,small;solid;square,small;square,2,subtractive,1,2,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,13,small;solid;square,small;square;solid,3,nochange,2,2,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,14,small;solid;square,small;square;solid,3,nochange,2,2,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,15,small;solid;square,small;square;solid,3,nochange,3,3,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,16,small;solid;square,square;small,2,subtractive,6,7,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,17,small;solid;square,small;square,2,subtractive,5,6,1.0
S5,subtractive,p_add=0.5_steps=50_temp=1.0,18,small;solid;square,small;square;solid,3,nochange,2,2,1.0
